birthday,birthday_guys
1985-9-3,"Christopher Lars, Troy Jamieson"
1979-2-23,"Christopher Louis"
1963-4-3,"Christopher Louis"
1986-3-17,"Christopher Lyn"
1982-5-4,"Christopher Matthew"
1988-2-24,"Christopher Matthew"
1986-6-30,"Christopher Michael"
1989-4-1,"Christopher Michael"
1977-12-31,"Christopher Michael"
1971-9-18,"Christopher Michael"
1956-2-4,"Christopher Michael"
1944-8-2,"Christopher Michael"
1976-6-27,"Christopher Michael, Johnny Pulado"
1980-8-17,"Christopher Myron, Michael Patrick, Brett Allen, Jeffrey Allen"
1980-9-28,"Christopher Neil, Francisco Alberto"
1986-11-22,"Christopher Omar"
1988-4-10,"Christopher Paul, Christopher L."
1947-11-6,"Christopher Paul, Lee Patrick Thomas"
1982-12-27,"Christopher Paul, Michael Ray"
1971-8-3,"Christopher Philip"
1985-7-1,"Christopher Ralph"
1983-3-8,"Christopher Raymond, Mark Robert"
1986-6-2,"Christopher Riley"
1973-2-4,"Christopher Robert"
1974-6-7,"Christopher Robert"
1974-6-15,"Christopher Robert"
1970-11-6,"Christopher Ronald"
1981-2-12,"Christopher Ryan"
1987-11-24,"Christopher Ryan"
1988-4-11,"Christopher Ryan, Peter Michael"
1991-8-12,"Christopher Scott"
1978-2-13,"Christopher Scott"
1976-12-9,"Christopher Scott"
1954-8-24,"Christopher Sean"
1988-4-15,"Christopher Steven"
1966-5-13,"Christopher Thomas"
1974-4-11,"Christopher Trotman"
1972-8-15,"Christopher Verdell"
1969-3-23,"Christopher Wan"
1968-8-4,"Christopher Wayne"
1967-1-5,"Christopher William"
1957-7-18,"Christopher William"
1976-5-19,"Christopher Wren"
1951-2-15,Cirilo
1911-11-26,"Claiborne Henry"
1950-1-3,"Clair Barth"
1898-6-20,"Clair Lee"
1891-12-19,"Claire Vernon"
1891-5-24,Clarence
1937-8-25,Clarence
1924-3-6,"Clarence Anthony, Edward Frank"
1888-1-11,"Clarence Ashley"
1877-8-28,"Clarence Benjamin"
1895-10-27,"Clarence Bill"
1894-11-18,"Clarence Calvert"
1881-9-25,"Clarence Carr"
1904-1-28,"Clarence Casper"
1893-7-6,"Clarence Clemet"
1892-6-11,"Clarence Cofield, Archie Joseph"
1885-11-29,"Clarence Curtis, John Forbes"
1911-3-28,"Clarence Douglas"
1907-8-7,"Clarence Edward"
1894-11-1,"Clarence Edward"
1944-3-17,"Clarence Edwin"
1891-2-22,"Clarence Elmer"
1886-5-16,"Clarence Emanuel"
1878-12-11,"Clarence Eugene"
1919-12-3,"Clarence Eugene"
1903-10-4,"Clarence Fletcher"
1899-9-16,"Clarence Francis"
1878-4-8,"Clarence Francis"
1878-12-30,"Clarence Franklin"
1875-5-27,"Clarence Franklin"
1854-10-2,"Clarence G."
1864-11-1,"Clarence Geoghan"
1952-8-20,"Clarence George, Robert"
1915-1-27,"Clarence Hampton"
1898-8-27,"Clarence Henry, Frank"
1909-2-24,"Clarence Herbert"
1885-11-4,"Clarence Herman"
1876-7-23,"Clarence Howeth"
1921-9-26,"Clarence James"
1899-9-7,"Clarence John"
1922-12-21,"Clarence Joseph"
1908-11-3,"Clarence Lemuel"
1867-8-8,"Clarence Lemuel"
1911-9-4,"Clarence LeRoy"
1856-3-4,"Clarence M."
1976-4-5,"Clarence Matthew, Ross Peter, Ryan Thomas"
1912-5-17,"Clarence McKay"
1921-5-24,"Clarence Melvin"
1889-7-27,"Clarence Newton"
1930-2-1,"Clarence Nottingham"
1892-5-23,"Clarence Ossie, Luther Lane"
1887-6-9,"Clarence Otto"
1893-5-22,"Clarence Perkins"
1891-3-6,"Clarence Raymond, Oliver Frank"
1918-12-9,"Clarence Scott"
1913-9-4,"Clarence Thomas"
1900-7-13,"Clarence Vick"
1893-7-11,"Clarence Waldo, Milton Joseph"
1927-2-15,"Clarence Walter"
1925-4-28,"Clarence Westly"
1913-4-1,"Clarence Wilbur"
1897-10-29,"Clarence William"
1887-9-4,"Clarence William, John Michael"
1890-3-10,"Clarence Willie"
1941-11-7,"Clarence Woodrow"
1863-8-19,"Clarence Wright"
1915-3-7,"Clarence, James David"
1869-11-20,"Clark Calvin"
1899-2-24,"Clarke Alonzo"
1881-6-17,Claud
1902-4-18,"Claud Clarence"
1886-6-11,"Claud Lester, William George"
1924-7-20,"Claude Arthur"
1873-10-5,"Claude Cassius"
1946-8-17,"Claude Edward"
1912-9-1,"Claude Edward, Herman Joseph"
1898-5-28,"Claude Edwin"
1880-2-14,"Claude Elzy, Harry Archibald"
1880-1-1,"Claude James"
1969-2-10,"Claude Jayhawk"
1876-11-17,"Claude Judson"
1893-3-9,"Claude Preston, William Harold"
1889-4-13,"Claude Raymond"
1892-4-1,"Claude William"
1898-11-14,"Claude William"
1909-4-9,"Claude William"
1939-8-9,"Claude Wilson"
1978-6-19,Claudio
1958-6-28,"Clay C., Rafael"
1984-8-14,"Clay Daniel"
1914-9-11,"Clay Jamieson"
1941-5-2,"Clay Palmer"
1984-6-28,"Clay Pflibson"
1903-1-24,"Clayland Maffitt"
1981-3-9,"Clayton Anthony"
1983-9-12,"Clayton Colby"
1988-3-19,"Clayton Edward"
1936-12-3,"Clayton Errol, David Louis"
1985-4-10,"Clayton Grant, Jonathan"
1872-8-1,"Clayton King"
1948-6-25,"Clayton Laws"
1975-11-19,"Clayton Lee"
1917-3-26,"Clayton Patrick"
1881-12-18,"Clayton Shields"
1976-11-1,"Cleatus Lavon"
1951-8-17,"Clell Lavern"
1916-1-24,"Clemens Johann, Walter Franklin"
1925-6-20,"Clement John"
1886-11-2,"Clement Lambert"
1895-8-1,"Clement Manly"
1968-5-18,"Clemente Rafael"
1919-12-26,"Cleneth Eugene"
1940-8-31,"Cleo Joel, Ramon"
1885-3-1,"Cleon Earl"
1958-11-25,Cleotha
1937-2-9,"Cletis Leroy"
1922-12-27,Clifford
1974-2-11,Clifford
1921-8-28,"Clifford Alexander, William D."
1974-2-27,"Clifford Anthony"
1924-5-13,"Clifford Bryson"
1881-3-23,"Clifford Carlton"
1885-4-10,"Clifford Clarence"
1922-1-10,"Clifford Day"
1880-4-10,"Clifford Douglas"
1924-1-1,"Clifford Earl, Charles Tuller"
1897-3-6,"Clifford Francis"
1922-3-13,"Clifford Franklin"
1912-1-3,"Clifford George"
1974-4-21,"Clifford Michael"
1894-5-3,"Clifford Monroe"
1903-1-18,"Clifford Nolen"
1979-9-5,"Clifford Paul, Ryan Adam"
1964-8-2,"Clifford Raphael"
1920-1-2,"Clifford Roland"
1958-11-18,"Clifford Scot"
1861-11-24,"Clifford Virgil"
1896-8-4,"Clifford Walker, Clarence Edward"
1877-11-30,"Clifford Wesley"
1968-4-12,"Clifford, David Alan"
1898-1-24,"Clifton Earl"
1881-7-3,"Clifton Garfield, Frederic William"
1978-8-30,"Clifton Phifer, Todd Allen"
1979-3-6,"Clint Harold"
1983-5-15,"Clint Joseph"
1972-7-13,"Clint Rea"
1921-7-24,"Clinton Astor"
1922-8-10,"Clinton Clarence"
1957-7-7,"Clinton Daniel"
1927-3-16,"Clinton Dawson"
1903-7-8,"Clinton Harold"
1985-2-16,"Clinton Michael"
1980-10-25,"Clinton Scott"
1967-1-4,"Clinton Wayne, Edward Robert"
1898-10-17,"Clinton Willis"
1902-11-24,"Cloy Mitchell"
1927-9-1,"Cloyd Victor, Thomas Roland, Robert Louis Paul"
1941-2-20,Clyde
1927-12-26,"Clyde Daniel, Stuart Leonard"
1935-2-3,"Clyde Donald, Richard Joseph"
1917-3-4,"Clyde Edward"
1924-5-23,"Clyde Edward"
1906-8-6,"Clyde Elias, Edgar Jewel"
1886-5-23,"Clyde Ellsworth"
1897-1-6,"Clyde Ellsworth, Byron Franklin"
1900-1-6,"Clyde Eugene"
1917-12-12,"Clyde Franklin, Robert Louis"
1921-9-24,"Clyde Frederick"
1914-4-17,"Clyde Hetrick"
1896-10-30,"Clyde Jennings"
1895-12-29,"Clyde Lee"
1908-8-7,"Clyde Melno"
1912-3-20,"Clyde Mitchell"
1891-7-8,"Clyde Raymond"
1886-11-12,"Clyde Samuel"
1913-9-8,Clydell
1850-11-23,"Clytus George"
1985-10-8,"Cody Allen"
1988-11-20,"Cody Edward"
1980-12-23,"Cody Joseph"
1962-5-9,"Cohen Willams"
1948-10-26,"Colbert Dale"
1983-12-27,"Colbert Michael"
1986-8-11,"Colby Ryan, Pablo Emilio"
1985-8-1,"Cole A., Adam La Marque"
1984-6-20,"Cole Braden"
1985-2-12,"Cole William"
1985-2-1,"Colin Benedict, Elian"
1975-11-23,"Colin Frederick"
1987-6-19,"Collin Alexander"
1986-6-6,"Collin Thomas, Junichi"
1908-9-16,"Colonel Buster"
1895-5-16,"Colonel Lester"
1987-7-18,"Conor Michael"
1880-11-16,Conrad
1932-11-9,"Conrad George"
1879-5-19,"Conrad Powell"
1942-3-30,"Conrad Seth"
1861-12-21,"Conrad, Harry H."
1911-4-25,"Conrado Eugenio, Roberto"
1920-12-6,"Constantine Gregory"
1931-7-28,"Constantine Nicholas"
1967-12-7,Constantino
1988-10-28,"Corban Raymond"
1991-11-26,"Corey Andrew"
1978-11-5,"Corey Lamar"
1986-4-10,"Corey Scott"
1974-12-26,"Corey Wayne, Brian Michael"
1881-4-22,Cornelius
1862-12-22,"Cornelius Alexander"
1863-10-15,"Cornelius B."
1840-11-19,"Cornelius Carmen"
1874-2-24,"Cornelius Cecil, John Peter"
1870-11-1,"Cornelius David"
1864-9-11,"Cornelius F."
1904-1-24,"Cornelius Francis"
1922-9-16,"Cornelius Francis"
1875-1-23,"Cornelius Francis Xavier"
1922-1-11,"Cornelius John"
1920-2-27,"Cornelius Joseph"
1882-4-23,"Cornelius Robert"
1915-7-21,"Cornelius Stephen, Claude Elliott"
1868-12-10,"Cornelius William"
1972-3-22,"Cory Fulton"
1991-3-16,"Cory Joseph"
1986-4-14,"Cory Nathanial"
1985-3-4,"Cory Robert, Michael Charles"
1987-11-6,"Cory Taylor"
1987-10-9,"Cory Wade"
1974-10-9,"Courtney Demond"
1979-11-1,"Covelli Loyce"
1954-9-7,Craig
1976-11-30,"Craig Alan"
1983-11-29,"Craig Alan"
1965-12-14,"Craig Alan, Kenneth Wade"
1974-3-12,"Craig Allen"
1983-3-18,"Craig B., Andrew Michael"
1963-1-7,"Craig Barry"
1965-2-13,"Craig Charles"
1949-12-11,"Craig Douglas"
1969-3-28,"Craig Harold"
1970-8-21,"Craig John"
1977-2-27,"Craig Keystone"
1962-6-19,"Craig Lee"
1982-3-8,"Craig Leo"
1957-9-29,"Craig Lindsay, Timothy Earl"
1977-7-8,"Craig Michael"
1957-2-2,"Craig Phillip"
1947-9-1,"Craig Richard"
1965-4-17,"Craig Richard"
1983-11-15,"Craig Robert"
1948-9-30,"Craig Robert, Rosendo"
1950-11-30,"Craig Steven"
1954-11-18,"Craig Steven"
1959-1-8,"Craig Stuart, Ramon"
1954-9-10,"Craig Thomas, Preston Lee"
1980-5-10,"Craig Walter"
1921-1-7,"Cramer Theodore"
1965-4-5,"Cris Howell"
1982-3-6,"Cristhian A."
1991-7-26,"Cristhian Pascual"
1969-1-3,Cristobal
1893-11-16,Cristobal
1933-11-16,"Cristobal Rigoberto"
1975-5-3,"Cruz Gabriel"
1914-5-9,Culley
1957-7-19,"Curt Gerrard"
1940-9-24,"Curtell Howard"
1945-9-14,Curtis
1981-3-16,Curtis
1960-4-16,"Curtis Allen"
1970-3-16,"Curtis Allen"
1929-8-16,"Curtis Benjamin"
1862-2-10,"Curtis Benton"
1938-1-18,"Curtis Charles"
1931-8-22,"Curtis Cordell"
1960-10-11,"Curtis Glenn"
1887-2-18,"Curtis Hancock"
1878-2-18,"Curtis Henry"
1898-9-13,"Curtis Hooper"
1968-4-2,"Curtis John"
1968-12-17,"Curtis John"
1972-9-30,"Curtis LaMar, Jose Desiderio Rodriguez"
1943-7-5,"Curtis Leroy"
1933-11-18,"Curtis Lowell"
1988-11-9,"Curtis Michael"
1966-11-14,"Curtis Montague"
1960-11-16,"Curtis Ray"
1982-8-8,"Curtis Ross, Donald Hassett, Matthew Benjamin"
1960-1-15,"Curtis Steven"
1929-5-19,"Curtis Thomas"
1961-4-26,"Curtis Vernon"
1895-11-11,"Cyril Arlon"
1886-3-23,"Cyril Charles"
1918-2-5,"Cyril Owen"
1915-2-25,"Cyril Roy"
1889-5-7,"Cyril Wilson"
1859-1-12,"Cyrus Edward"
1907-2-26,"Cyrus Sol"
1914-4-6,"D C"
1889-1-17,"D. Louis, Oliver Henry"
1902-3-16,"D'Arcy Raymond"
1969-8-2,Dae-Sung
1942-3-9,Dagoberto
1919-7-10,"Dain Elmer"
1980-9-13,Daisuke
1876-9-3,"Dakin Evans, Jeremiah Francis, George Robert"
1950-2-2,"Dale Albert"
1956-12-13,"Dale Anthony, Jonathan Samuel"
1956-3-12,"Dale Bryan"
1872-2-2,"Dale Dudley"
1918-12-17,"Dale Eldon"
1938-5-29,"Dale Jerome"
1918-3-9,"Dale Leonard"
1955-8-27,"Dale Patrick"
1956-1-25,"Dale Robert"
1980-12-17,"Dale Scott"
1923-5-15,"Dale Wesley"
1988-1-1,Dallas
1895-11-23,"Dallas Carl"
1989-6-12,"Dallas James"
1983-8-13,"Dallas Lee"
1980-7-23,"Dallas Lyle"
1958-2-28,"Dallas McKinley"
1992-12-11,"Dalton Kenrick"
1975-2-14,Damaso
1941-11-12,Damaso
1957-2-7,"Damaso Domingo, Carney Ray"
1969-10-13,"Damian Donald, Timothy Lyle"
1973-8-16,"Damian Jacques"
1976-11-24,"Damian Joseph, Michael Donald"
1977-9-15,"Damian Michael"
1970-6-12,"Damon Jackson"
1974-6-12,"Damon Jamall, Hideki"
1967-1-11,"Damon Nikco"
1963-12-3,"Damon Scott"
1969-10-31,"Damon Wayne, Oreste Vilato"
1893-11-6,Dana
1966-8-14,"Dana Eric"
1961-2-25,"Dana Ervin"
1983-10-29,"Dana James"
1950-5-11,"Dane Charles"
1983-2-1,"Dane David"
1963-2-10,"Dane Edward, Leonard Kyle"
1979-4-8,"Dane Kealoha, Jeremy"
1977-4-12,Daniel
1973-2-14,Daniel
1965-9-27,Daniel
1972-11-11,Daniel
1990-8-26,Daniel
1856-10-22,Daniel
1861-11-5,Daniel
1863-1-25,Daniel
1930-7-21,Daniel
1930-12-21,Daniel
1942-1-11,Daniel
1987-3-4,"Daniel Adam"
1985-12-22,"Daniel Adam"
1912-8-6,"Daniel Albert"
1936-12-20,"Daniel Albin"
1860-10-23,"Daniel Albion"
1957-5-1,"Daniel Allan"
1969-3-25,"Daniel Allen, David Travis, Eric James, Paul Gerard, Scott Gerald, Erik Paul"
1911-9-29,"Daniel Aloysius"
1987-2-17,"Daniel Andres"
1985-2-19,"Daniel Anthony"
1961-10-17,"Daniel Anthony"
1942-3-23,"Daniel Bernard"
1971-11-3,"Daniel Bracy"
1857-5-9,"Daniel C."
1870-8-8,"Daniel C."
1876-11-8,"Daniel Charles"
1955-11-23,"Daniel Charles, Mark Christopher, Todd Ruben"
1982-9-17,"Daniel Christopher, Sean Richard"
1987-3-9,"Daniel Claiborne"
1868-8-11,"Daniel Cornelius"
1893-7-8,"Daniel Courtenay, William Verna"
1894-1-18,"Daniel Curren"
1990-1-11,"Daniel Dariel"
1993-4-25,"Daniel David"
1953-9-30,"Daniel David"
1981-5-11,"Daniel David"
1952-12-1,"Daniel Dean"
1864-10-31,"Daniel Denison"
1885-6-7,"Daniel DeSales"
1970-1-6,"Daniel Donovan"
1861-10-17,"Daniel Eckford"
1955-1-11,"Daniel Edmund"
1931-10-17,"Daniel Edward"
1864-10-28,"Daniel Edward"
1885-3-23,"Daniel Edward"
1983-4-24,"Daniel Edward"
1901-2-22,"Daniel Edward"
1968-6-30,"Daniel Edward"
1917-10-8,"Daniel Edward, William Harrel"
1954-12-1,"Daniel Ernest"
1990-11-7,"Daniel Ernesto"
1932-11-18,"Daniel Eugene"
1929-1-21,"Daniel Francis"
1876-8-11,"Daniel Francis"
1891-9-9,"Daniel Francis"
1887-12-2,"Daniel Francis"
1942-8-23,"Daniel Francis, David Barclay"
1946-5-17,"Daniel Francisco"
1875-2-16,"Daniel George"
1948-3-9,"Daniel George, John Duffield, Darrel Lee"
1981-1-8,"Daniel Gerome, Derek Ryan, Jeffrey William"
1905-4-3,"Daniel Gordon"
1954-1-14,"Daniel Hugh"
1868-1-28,"Daniel J."
1867-8-12,"Daniel J."
1867-4-25,"Daniel James"
1954-3-16,"Daniel James"
1954-7-4,"Daniel James, James Louis"
1947-7-14,"Daniel James, Steven Michael"
1956-1-10,"Daniel Jay"
1954-7-19,"Daniel Jay"
1934-12-6,"Daniel John"
1880-3-2,"Daniel John"
1980-9-17,"Daniel John"
1986-10-17,"Daniel John"
1954-4-22,"Daniel Joques, William Herbert"
1955-3-26,"Daniel Joseph"
1958-11-13,"Daniel Joseph"
1944-4-1,"Daniel Joseph"
1985-3-30,"Daniel Joseph"
1980-4-12,"Daniel Joseph"
1974-1-25,"Daniel Joseph"
1864-9-10,"Daniel Joseph"
1865-11-28,"Daniel Joseph"
1867-4-14,"Daniel Joseph"
1977-5-19,"Daniel Joshua, Charles Brandon"
1905-6-10,"Daniel Knowles"
1868-10-25,"Daniel L."
1987-4-17,"Daniel Lee"
1964-9-18,"Daniel Lee"
1975-3-15,"Daniel Lee, Vladimir"
1923-11-26,"Daniel Leonard"
1887-6-19,"Daniel Leslie"
1920-2-26,"Daniel Lewis"
1981-7-3,"Daniel Livingston"
1942-8-29,"Daniel Louis"
1953-8-20,"Daniel Lynn"
1862-11-20,"Daniel Maurice"
1956-10-16,"Daniel Michael"
1943-11-29,"Daniel Michael"
1977-12-10,"Daniel Michael"
1941-5-27,"Daniel Miers"
1984-9-19,"Daniel Paul"
1989-10-26,"Daniel Paul"
1985-6-25,"Daniel Paul"
1973-8-7,"Daniel Peter"
1885-10-16,"Daniel Philip"
1881-3-13,"Daniel Ralph"
1954-4-29,"Daniel Raphael"
1951-11-27,"Daniel Ray"
1959-3-17,"Daniel Ray"
1953-2-7,"Daniel Raymond"
1988-12-21,"Daniel Richard"
1987-4-25,"Daniel Richard"
1986-5-9,"Daniel Robert"
1920-5-3,"Daniel Robert"
1976-7-12,"Daniel Robert"
1985-9-30,"Daniel Roger, James Robert, Daniel Weston"
1979-8-10,"Daniel Ryan, Brandon James"
1969-4-20,"Daniel Scott"
1873-4-18,"Daniel Sebastian, Hugh Joseph"
1890-2-13,"Daniel Slaughter"
1988-12-1,"Daniel Steven"
1970-1-26,"Daniel Steven"
1857-4-1,"Daniel T."
1853-9-27,"Daniel Thomas"
1962-2-4,"Daniel Thomas"
1952-8-3,"Daniel Thomas"
1985-4-1,"Daniel Thomas"
1982-9-26,"Daniel Thomas"
1900-12-23,"Daniel Turney"
1919-11-26,"Daniel Vance"
1975-9-22,"Daniel Victor, Luis Carlos"
1946-3-4,"Daniel Vincent"
1974-7-8,"Daniel Wayne"
1916-8-31,"Daniel Webster, Raymond James"
1868-1-12,"Daniel William"
1986-10-19,"Daniel William"
1928-1-6,"Daniel William"
1957-7-3,"Daniel William"
1972-5-24,"Daniel, Gabriel"
1970-9-9,"Daniel, Johns Joseph"
1971-2-26,"Daniel, Matthew Clifford"
1933-11-17,"Daniel, Orlando Gregorio"
1962-10-30,"Danilo, Mark Steven"
1959-5-26,"Dann James"
1964-2-13,"Dann Paul John"
1974-4-6,Danny
1983-6-9,"Danny Adam"
1959-9-21,"Danny Bradford"
1961-10-24,"Danny Bruce, Rafael Leonidas, Stephen Graeling"
1979-4-7,"Danny E., Adrian"
1953-3-22,"Danny Jon"
1953-9-2,"Danny Kay"
1951-5-9,"Danny Lee"
1946-6-19,"Danny Leon"
1962-1-5,"Danny Lynn"
1946-11-4,"Danny Ray"
1942-6-27,"Danny Richard"
1971-2-17,"Danny Shane"
1961-8-2,"Danny Todd"
1946-6-11,"Danny Walker"
1949-10-5,"Danny Wayne"
1926-12-10,"Dante Leo"
1947-3-10,"Darcy Rae"
1967-6-13,"Daren Dwayne"
1985-8-16,"Daric William"
1986-7-28,"Darin Cortland"
1973-3-13,"Dario Antonio"
1916-6-6,"Dario Antonio"
1927-9-14,"Darius Dutton, William James"
1962-6-2,Darnell
1952-5-19,"Darnell Glenn"
1941-12-9,"Darold Duane"
1973-1-3,"DaRond Tyrone"
1930-9-1,"Darragh Dean"
1962-6-12,"Darrel Wayne"
1985-7-15,"Darrell David"
1966-12-4,"Darrell Edward"
1908-7-6,"Darrell Elijah"
1940-7-8,"Darrell G."
1972-6-13,"Darrell Kevin"
1972-9-4,"Darrell Lee"
1956-12-10,"Darrell Lee"
1956-4-3,"Darrell Preston"
1971-8-28,"Darrell Shane"
1947-5-26,"Darrell Wayne"
1941-11-14,"Darrell Wayne"
1955-10-29,"Darrell Wayne"
1965-10-16,"Darren A. Douglass"
1962-1-3,"Darren Arthur"
1970-10-6,"Darren Christopher"
1972-5-3,"Darren James"
1967-8-28,"Darren Joel"
1981-3-18,"Darren Lawrence"
1966-4-25,"Darren Lee, Erik Daniel"
1966-10-3,"Darrin Glen, Scott Michael"
1963-8-22,"Darrin Jay"
1968-12-2,"Darryl Andrew"
1962-3-12,"Darryl Eugene"
1968-8-6,"Darryl Nelson"
1964-12-3,"Darryl Quinn, Jeffrey Allen, Steven Jerome"
1957-4-23,"Darryl Richard"
1972-11-15,"Darwin Harrikson"
1985-11-8,"Darwin James Kunane"
1943-11-21,"Daryl Alan"
1958-10-3,"Daryl Anthony"
1936-1-5,"Daryl Berdene, Clyde Stalcup"
1960-7-29,"Daryl Clinton"
1928-7-13,"Daryl Dean"
1964-11-15,"Daryl Keith"
1963-1-4,"Daryl Lamont, Thomas Brad"
1985-11-2,"Daryl Marcelus"
1975-6-27,"Daryle Lamar"
1958-4-25,Dave
1950-6-26,David
1948-6-11,David
1881-12-6,David
1851-1-1,David
1864-12-18,David
1893-11-8,David
1920-9-15,David
1921-6-17,David
1991-7-19,"David A."
1979-11-6,"David Adam"
1985-4-9,"David Alan"
1956-3-27,"David Alan"
1956-12-29,"David Alan"
1964-11-12,"David Alan, Gary Montez"
1940-10-16,"David Albert"
1960-12-4,"David Alejandro"
1966-6-15,"David Alexander"
1943-1-7,"David Alexander"
1876-9-30,"David Alexander"
1949-6-23,"David Allan"
1958-11-28,"David Allan"
1981-12-27,"David Allan"
1969-2-5,"David Allen"
1982-12-20,"David Allen"
1943-1-30,"David Allen"
1953-2-12,"David Allen"
1948-1-30,"David Allen"
1966-7-7,"David Allen, Jeffrey Lee"
1962-4-3,"David Allen, Martin Keith"
1941-2-17,"David Alvin"
1957-7-22,"David Andrew"
1989-5-11,"David Andrew"
1972-8-14,"David Anthony"
1969-11-7,"David Anthony"
1942-10-31,"David Arthur"
1944-9-11,"David Arthur"
1948-12-21,"David Arthur"
1889-5-1,"David Austin"
1952-2-19,"David Baird"
1886-7-5,"David Beals"
1981-11-7,"David Benjamin"
1957-4-17,"David Blain"
1969-6-25,"David Bradley"
1971-5-4,"David Brian, Joseph Thomas"
1972-3-4,"David Bruce"
1973-6-4,"David Bruce"
1943-5-20,"David Bruce"
1953-6-6,"David Bruce"
1930-8-29,"David Bruce"
1937-11-11,"David Burnham"
1937-10-31,"David Burton"
1973-10-15,"David Cardenas, Timothy R., Mendy"
1927-11-2,"David Carlous"
1960-8-1,"David Carter"
1975-2-23,"David Charles"
1948-10-4,"David Charles"
1891-3-14,"David Charles"
1890-3-7,"David Charles"
1975-6-6,"David Christian"
1979-12-20,"David Christopher"
1951-9-28,"David Christopher"
1985-1-12,"David Christopher"
1935-9-27,"David Clifford"
1959-10-30,"David Dale"
1903-4-26,"David Dale"
1849-4-30,"David Daniel"
1986-1-20,"David Dennis"
1986-5-3,"David Dewitt"
1937-1-8,"David Donald"
1964-1-7,"David Donald, Allan Lee"
1987-9-27,"David E., Grant Thomas"
1944-6-20,"David Earl"
1945-5-3,"David Earl"
1920-5-16,"David Earl"
1962-9-3,"David Earl"
1961-10-16,"David Earl, William Howell"
1947-12-13,"David Edward"
1945-9-26,"David Edwin"
1897-1-9,"David Edwin"
1854-10-9,"David Elwood"
1973-3-12,"David Emmer"
1948-5-14,"David Eugene"
1955-4-22,"David Eugene"
1918-6-5,"David Everett, Alva William"
1941-5-12,"David Floyd"
1918-3-3,"David Forrest, William Joseph"
1956-2-14,"David Francis"
1876-5-4,"David Francis, Charles Taylor"
1936-8-6,"David Frederick"
1951-6-9,"David Gene"
1943-7-15,"David George"
1938-3-30,"David George"
1951-9-2,"David Gerald"
1968-12-22,"David Glen"
1956-7-25,"David Glenn"
1956-11-25,"David Glenn"
1951-4-7,"David Gordon, David Jacob"
1964-5-8,"David Grant"
1984-8-22,"David Gregory"
1951-8-27,"David Gus"
1945-11-7,"David Hans"
1882-5-8,"David Henry"
1984-1-10,"David Hunter"
1900-6-21,"David Irenus"
1987-1-2,"David J."
1891-4-20,"David James"
1892-5-19,"David James"
1951-10-31,"David James, David Michael"
1975-6-5,"David Jason"
1880-6-30,"David Jefferson"
1980-6-10,"David Jeffrey"
1959-7-29,"David Jeffrey"
1958-9-22,"David John"
1939-11-27,"David John"
1968-6-8,"David John"
1863-12-1,"David John"
1988-7-13,"David John"
1975-11-20,"David Jonathan"
1985-5-13,"David Jose"
1987-8-4,"David Jose, Hiram Alexis"
1962-9-30,"David Joseph"
1967-9-29,"David Joseph"
1957-4-22,"David Joseph"
1888-7-20,"David Joseph"
1978-12-14,"David K."
1972-4-21,"David Keith"
1959-8-8,"David Keith"
1957-2-19,"David Keith"
1941-2-25,"David Kent"
1982-4-22,"David Kent"
1891-12-29,"David L."
1859-9-29,"David L."
1943-12-23,"David LaFrance, Ronald Frederick"
1912-12-24,"David Lamar"
1958-5-5,"David Lawrence"
1950-3-14,"David Lawrence"
1984-4-23,"David Lawrence"
1950-8-17,"David Lawrence, Larry Doby"
1958-7-21,"David Lee"
1945-3-5,"David Lee"
1948-7-5,"David Lee"
1949-6-18,"David Lee"
1963-5-20,"David Lee"
1950-8-30,"David Lee, James Anderson, Michael Robert"
1964-9-1,"David Lee, Luis Antonio"
1962-8-12,"David Lee, Rafael Urbano"
1961-12-18,"David Lee, Scott Alan"
1987-9-1,"David Lee, Trayvon Andrew Dwayne, Sean Daniel"
1933-6-30,"David Leonard"
1954-2-24,"David Leonard"
1879-1-24,"David Leonard"
1954-1-16,"David Leslie"
1875-5-29,"David Lewis"
1968-2-25,"David Lindsey"
1951-6-12,"David Lindsey"
1856-9-7,"David Luther"
1951-10-3,"David Mark"
1975-1-20,"David Mark"
1956-12-5,"David Mark, William David"
1948-12-26,"David Martin, Carroll Christopher"
1981-10-18,"David Matthew"
1975-9-23,"David Matthew"
1973-9-7,"David Matthew, Jarrod Lane"
1897-11-17,"David Matthew, Walter John"
1921-12-5,"David Meadow"
1914-12-17,"David Merwin"
1972-9-14,"David Michael"
1977-1-8,"David Michael"
1975-7-8,"David Michael"
1942-9-5,"David Michael"
1957-9-1,"David Michael"
1931-10-16,"David Michael"
1905-5-7,"David Monroe"
1959-11-13,"David Noel"
1928-10-3,"David Olin"
1881-2-7,"David Owen"
1953-10-4,"David Paul"
1941-1-22,"David Paul"
1962-6-18,"David Paul"
1967-11-7,"David Paul"
1960-9-25,"David Peter"
1921-2-1,"David Pledger"
1952-6-21,"David Ralph"
1949-11-28,"David Ralph"
1972-5-31,"David Ray"
1976-10-30,"David Raymond"
1976-10-23,"David Richard"
1977-2-7,"David Richard"
1983-4-28,"David Richard"
1951-5-24,"David Ritchie"
1937-3-21,"David Robert"
1917-3-24,"David Robert"
1933-9-12,"David Rotchford"
1928-11-15,"David Russell, Norman Brooks"
1952-10-20,"David S."
1868-10-10,"David S."
1966-10-19,"David Scott"
1956-8-5,"David Scott, David Delmer"
1971-4-19,"David Sean"
